Main Data
#
# variable definitions
#
height # z # m # Z1 # 0 # 99999
wind speed # speed # m/s # G1 # 0 # 99.99
wind direction # dir # deg # R1 # 0 # 999.9
wind W # W # m/s # S # 0 # 99.99
sigma W # sigW # m/s # S # 0 # 99.99
backscatter # bck #  # S # 0 # 9.99E+37
error code # - - - - - - - - groundclutter - - - - - - -  #  # E # IIIIIIIIWIIIIIII
#
# beginning of data block
#

2012-08-15 00:30:00 00:30:00
#    z  speed    dir      W   sigW       bck   error 
    30   1.75  196.2   0.06   0.11  5.38E+04       0
    40   1.23  184.0   0.04   0.09  9.24E+04       0
    50   1.66  190.4   0.05   0.09  1.60E+05       0
    60   1.07  194.3   0.05   0.10  7.77E+04       0
    70   0.74  196.4   0.07   0.09  1.97E+05       0
    80   0.58  196.6   0.04   0.10  9.54E+04       0
    90   0.55  218.4  -0.01   0.12  7.20E+04       0
   100   0.68  235.6   0.03   0.13  6.09E+05       0
   110   1.04  257.8   0.06   0.17  7.02E+05       0
   120   1.24  251.2   0.13   0.17  6.49E+05       0
   130   1.43  235.1   0.09   0.14  3.37E+05       0
   140   1.80  225.7   0.05   0.12  4.30E+05       0
   150   1.87  221.8  -0.01   0.15  3.23E+05       0
   160   1.98  223.6  -0.17   0.22  1.60E+05       0
   170   1.99  221.2  -0.16   0.22  1.16E+05       0
   180   2.38  221.0  -0.09   0.23  9.52E+04       0
   190   2.56  214.8   0.10   0.22  1.13E+05       0
   200   2.61  209.2   0.11   0.23  1.48E+05       0
   210   2.72  204.5   0.03   0.18  1.32E+05       0
   220   2.90  203.2  -0.05   0.18  1.12E+05       0
   230   3.19  198.5  -0.06   0.19  8.08E+04       0
   240   3.26  198.5  -0.08   0.18  9.65E+04       0
   250   3.14  195.1  -0.04   0.15  1.36E+05       0
   260   3.04  193.8   0.06   0.16  1.49E+05       0
   270   3.01  185.2   0.16   0.16  1.90E+05       0
   280   3.22  182.9   0.12   0.17  1.98E+05       0
   290   3.46  182.7   0.05   0.19  2.87E+05       0
   300   3.75  188.4   0.01   0.23  3.33E+05       0
   310   4.00  185.9  -0.04   0.22  9.99E+37       0
   320   4.29  186.7  -0.04   0.22  4.54E+05       0
   330   4.58  183.3  -0.05   0.29  4.51E+05       0
   340  99.99  999.9   0.00   0.34  9.99E+37       0
   350   5.07  179.4  -0.02  99.99  5.86E+05       0
   360   5.15  178.5  -0.02  99.99  6.84E+05       0
   370   5.04  174.9   0.03   0.22  7.44E+05       0
   380   4.82  171.1   0.07   0.27  6.32E+05       0
   390   4.72  170.6   0.12   0.25  9.99E+37       0
   400   4.78  170.3   0.11   0.21  9.99E+37       0
   410   4.98  168.8   0.06   0.18  9.99E+37       0
   420   5.19  162.8   0.06   0.14  9.99E+37       0
   430   5.35  157.2   0.04   0.14  1.02E+06       0
   440   5.37  153.6   0.08   0.13  9.05E+05       0
   450   5.33  151.4   0.04   0.13  9.99E+37       0
   460   5.52  147.7   0.07   0.15  1.21E+06       0
   470   5.61  148.7   0.09   0.19  9.90E+05       0
   480   5.63  148.1   0.10   0.22  1.47E+06       0
   490   5.48  146.9   0.06   0.21  1.35E+06       0
   500   5.47  141.8   0.03   0.20  9.99E+37       0
   510   5.49  138.5  -0.01   0.22  1.46E+06       0
   520   5.70  135.1  -0.06   0.18  1.70E+06       0
   530   5.62  134.6  -0.06   0.23  2.50E+06       0
   540   5.60  133.5  -0.05   0.23  9.99E+37       0
   550   5.46  129.7  -0.07   0.17  9.99E+37       0
   560   5.30  126.7  -0.09   0.16  9.99E+37       0
   570   5.27  124.8  -0.08   0.22  9.99E+37       0
   580   5.52  126.6  -0.01   0.19  9.99E+37       0
   590   5.88  129.1   0.01   0.18  9.99E+37       0
   600   6.38  124.7   0.00   0.19  9.99E+37       0
   610   5.87  123.3   0.01   0.17  9.99E+37       0
   620   6.02  118.0  -0.02   0.19  9.99E+37       0
   630   5.79  120.2  -0.03   0.22  9.99E+37       0
   640   6.21  121.7  -0.02   0.16  9.99E+37       0
   650   6.11  118.9  -0.01   0.20  9.99E+37       0
   660   6.25  113.5   0.08   0.23  9.99E+37       0
   670   6.49  110.4   0.07   0.41  9.99E+37       0
   680   7.04  107.7   0.12   0.40  9.99E+37       0
   690   7.75  106.8   0.03   0.32  9.99E+37       0
   700   7.73  106.5  -0.07   0.33  6.09E+06       0
   710   7.68  105.5  -0.11   0.36  9.99E+37       0
   720   7.66  104.4  -0.14   0.41  9.99E+37       0
   730   7.60  104.0  -0.07  99.99  9.99E+37       0
   740  99.99  999.9  -0.05  99.99  9.99E+37       0
   750  99.99  999.9   0.08  99.99  9.99E+37       0
   760  99.99  999.9   0.10  99.99  9.99E+37       0
   770  99.99  999.9   0.05  99.99  9.99E+37       0
   780  99.99  999.9  99.99  99.99  9.99E+37       0
   790  99.99  999.9  99.99  99.99  9.99E+37       0
   800  99.99  999.9  99.99  99.99  9.99E+37       0
   810  99.99  999.9  99.99  99.99  9.99E+37       0
   820  99.99  999.9  99.99  99.99  9.99E+37       0
   830  99.99  999.9  99.99  99.99  9.99E+37       0
   840  99.99  999.9  99.99  99.99  9.99E+37       0
   850  99.99  999.9  99.99  99.99  9.99E+37       0
   860  99.99  999.9  99.99  99.99  9.99E+37       0
   870  99.99  999.9  99.99  99.99  9.99E+37       0
   880  99.99  999.9  99.99  99.99  9.99E+37       0
   890  99.99  999.9  99.99  99.99  9.99E+37       0
   900  99.99  999.9  99.99  99.99  9.99E+37       0
   910  99.99  999.9  99.99  99.99  9.99E+37       0
   920  99.99  999.9  99.99  99.99  9.99E+37       0
   930  99.99  999.9  99.99  99.99  9.99E+37       0
   940  99.99  999.9  99.99  99.99  9.99E+37       0
   950  99.99  999.9  99.99  99.99  9.99E+37       0
   960  99.99  999.9  99.99  99.99  9.99E+37       0
   970  99.99  999.9  99.99  99.99  9.99E+37       0
   980  99.99  999.9  99.99  99.99  9.99E+37       0
   990  99.99  999.9  99.99  99.99  9.99E+37       0
  1000  99.99  999.9  99.99  99.99  9.99E+37       0

2012-08-15 01:00:00 00:30:00
#    z  speed    dir      W   sigW       bck   error 
    30   0.71  181.2   0.03   0.07  1.14E+05       0
    40   0.88  174.3   0.03   0.08  1.35E+05       0
    50   1.54  185.2   0.04   0.08  1.96E+05       0
    60   1.14  191.3   0.03   0.08  1.07E+05       0
    70   1.01  191.9   0.04   0.08  1.88E+05       0
    80   0.91  197.8   0.04   0.10  1.61E+05       0
    90   0.81  210.5   0.01   0.13  9.34E+04       0
   100   0.87  228.6  -0.06   0.15  4.73E+05       0
   110   1.12  239.9  -0.04   0.16  2.12E+05       0
   120   1.39  250.0   0.09   0.18  3.20E+05       0
   130   1.83  249.2   0.16   0.16  3.03E+05       0
   140   2.29  250.9   0.19   0.16  4.31E+05       0
   150   2.58  241.9   0.12   0.18  3.29E+05       0
   160   2.68  235.7   0.11   0.17  1.37E+05       0
   170   2.81  225.7   0.10   0.19  1.12E+05       0
   180   2.91  221.5   0.12   0.19  1.20E+05       0
   190   2.96  217.5   0.10   0.19  1.06E+05       0
   200   3.04  212.3   0.06   0.21  1.03E+05       0
   210   3.32  210.2   0.07   0.18  8.77E+04       0
   220   3.66  207.6   0.08   0.19  1.10E+05       0
   230   3.85  210.4   0.10   0.17  1.13E+05       0
   240   3.79  210.7   0.05   0.18  2.09E+05       0
   250   3.98  209.3   0.06   0.15  2.43E+05       0
   260   3.82  207.0   0.03   0.17  2.53E+05       0
   270   3.91  201.6   0.02   0.16  1.73E+05       0
   280   3.69  195.5   0.03   0.16  2.64E+05       0
   290   3.86  191.0   0.01   0.17  2.32E+05       0
   300   3.92  186.9  -0.04   0.22  3.20E+05       0
   310   4.19  188.2  -0.09   0.23  2.53E+05       0
   320   4.62  187.1  -0.08   0.21  2.85E+05       0
   330   5.02  188.0  -0.07   0.22  4.60E+05       0
   340   5.38  187.6  -0.07   0.20  4.61E+05       0
   350   5.49  186.8  -0.12   0.21  4.98E+05       0
   360   5.54  185.3  -0.07   0.21  5.45E+05       0
   370   5.60  184.2  -0.09   0.21  6.67E+05       0
   380   5.61  184.9   0.03   0.31  6.34E+05       0
   390   5.55  183.7   0.06   0.27  5.77E+05       0
   400   5.39  183.2   0.09   0.22  5.51E+05       0
   410   5.31  182.0   0.07   0.19  6.17E+05       0
   420   5.14  179.3   0.07   0.20  9.99E+37       0
   430   4.89  176.5   0.10   0.25  9.99E+37       0
   440   4.74  174.6   0.15   0.29  4.66E+05       0
   450   4.85  175.4   0.16   0.29  9.99E+37       0
   460   4.84  170.2   0.12   0.18  9.99E+37       0
   470   5.06  162.0   0.08   0.21  8.07E+05       0
   480   5.19  157.6   0.08   0.25  9.99E+37       0
   490   5.24  155.3   0.16   0.23  9.99E+37       0
   500   5.24  154.9   0.14   0.20  9.99E+37       0
   510   5.29  148.6   0.05   0.20  9.99E+37       0
   520   5.36  147.6  -0.04   0.18  9.99E+37       0
   530   5.47  142.5  -0.05   0.15  9.99E+37       0
   540   5.44  141.4  -0.11   0.14  9.99E+37       0
   550   5.27  140.9  -0.24   0.13  9.99E+37       0
   560   5.34  135.1  -0.26   0.17  9.99E+37       0
   570   5.17  134.2  -0.20   0.21  9.99E+37       0
   580   5.55  128.0  -0.09   0.32  9.99E+37       0
   590   5.40  130.9  -0.12   0.28  9.99E+37       0
   600   5.36  130.5  -0.23   0.28  9.99E+37       0
   610   5.48  129.0  -0.18   0.29  9.99E+37       0
   620   6.06  124.0  -0.13   0.28  9.99E+37       0
   630   6.17  123.2  -0.02   0.20  9.99E+37       0
   640   6.65  123.1  -0.09   0.21  9.99E+37       0
   650   6.25  118.3  -0.12   0.26  9.99E+37       0
   660   5.52  118.1  -0.08   0.32  9.99E+37       0
   670   5.16  114.8  -0.04   0.30  9.99E+37       0
   680   4.95  113.6  -0.08   0.31  9.99E+37       0
   690   5.63  111.5  -0.17   0.34  9.99E+37       0
   700  99.99  999.9  -0.22   0.29  9.99E+37       0
   710   6.57  106.0  -0.18   0.32  9.99E+37       0
   720   7.06  103.2  -0.16   0.29  9.99E+37       0
   730   6.81  101.9  -0.08   0.35  9.99E+37       0
   740  99.99  999.9   0.02   0.49  9.99E+37       0
   750  99.99  999.9  -0.01  99.99  9.99E+37       0
   760  99.99  999.9  -0.01  99.99  9.99E+37       0
   770  99.99  999.9   0.04  99.99  9.99E+37       0
   780  99.99  999.9  99.99  99.99  9.99E+37       0
   790  99.99  999.9  99.99  99.99  9.99E+37       0
   800  99.99  999.9  99.99  99.99  9.99E+37       0
